cohort_rank,proxyWallet,name,pseudonym,profit_all,volume_all,lb_sources,profit_best,volume_best,rank_key
21,0x006cc834cc092684f1b56626e23bedb3835c16ea,0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,4693482.35992549,,profit:all,4693482.35992549,,4693482.35992549
22,0xc2e7800b5af46e6093872b177b7a5e7f0563be51,beachboy4,beachboy4,4674048.476521532,222153209.143091,"profit:all,volume:all",4674048.476521532,222153209.143091,4674048.476521532
23,0x507e52ef684ca2dd91f90a9d26d149dd3288beae,GamblingIsAllYouNeed,GamblingIsAllYouNeed,4561529.989895969,438950585.76902586,"profit:all,volume:all",4561529.989895969,438950585.76902586,4561529.989895969
24,0xdc876e6873772d38716fda7f2452a78d426d7ab6,432614799197,432614799197,4526176.046413317,,profit:all,4526176.046413317,,4526176.046413317
25,0xf0318c32136c2db7fec88b84869aee6a1106c80c,BreakTheBank,BreakTheBank,4326517.970565258,,"profit:1d,profit:30d,profit:7d,profit:all,volume:30d",5205844.807405921,61334480.65417799,4326517.970565258
26,0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,0x2a2C53bD278c04DA9962Fcf96490E17F3DfB9Bc1-1772479215461,0x2a2C53bD278c04DA9962Fcf96490E17F3DfB9Bc1-1772479215461,4233889.001416049,477330271.05573004,"profit:all,volume:all",4233889.001416049,477330271.05573004,4233889.001416049
27,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,DrPufferfish,DrPufferfish,4055508.185155177,248466180.92618096,"profit:all,volume:all",4055508.185155177,248466180.92618096,4055508.185155177
28,0x9f2fe025f84839ca81dd8e0338892605702d2ca8,surfandturf,surfandturf,4049902.072778981,,"profit:1d,profit:7d,profit:all,volume:30d",4049902.072778981,51380539.85813201,4049902.072778981
29,0x16f91db2592924cfed6e03b7e5cb5bb1e32299e3,Jenzigo,Jenzigo,4049827.0941029997,,profit:all,4049827.0941029997,,4049827.0941029997
30,0xf8831548531d56ad6a4331493243c447a827cd1f,Inaccuratestake,Inaccuratestake,3987825.147795874,,"profit:1d,profit:30d,profit:all",3987825.147795874,,3987825.147795874
31,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,3795351.5072937515,347334399.72099507,"profit:30d,profit:7d,profit:all,volume:30d,volume:all",3795351.5072937515,347334399.72099507,3795351.5072937515
32,0xefbc5fec8d7b0acdc8911bdd9a98d6964308f9a2,reachingthesky,reachingthesky,3742635.156562068,,profit:all,3742635.156562068,,3742635.156562068
33,0x019782cab5d844f02bafb71f512758be78579f3c,majorexploiter,majorexploiter,3668541.581104434,,profit:all,3668541.581104434,,3668541.581104434
34,0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,SeriouslySirius,SeriouslySirius,3648171.807038897,,profit:all,3648171.807038897,,3648171.807038897
35,0xee613b3fc183ee44f9da9c05f53e2da107e3debf,sovereign2013,sovereign2013,3588720.2180176266,399254826.474778,"profit:all,volume:all",3588720.2180176266,399254826.474778,3588720.2180176266
36,0x14964aefa2cd7caff7878b3820a690a03c5aa429,gmpm,gmpm,3530847.5828185184,,profit:all,3530847.5828185184,,3530847.5828185184
37,0x94a428cfa4f84b264e01f70d93d02bc96cb36356,GCottrell93,GCottrell93,3442254.953739669,,profit:all,3442254.953739669,,3442254.953739669
